Data;Sensor;Hora_Ativo;ConsumoWH
01/01/2025;Quarto 02;09:09:00;13725,00
02/01/2025;Quarto 02;08:33:00;12825,00
03/01/2025;Quarto 02;13:17:00;19925,00
04/01/2025;Quarto 02;14:10:00;21250,00
05/01/2025;Quarto 02;09:25:00;14125,00
06/01/2025;Quarto 02;19:48:00;29700,00
07/01/2025;Quarto 02;11:53:00;17825,00
08/01/2025;Quarto 02;15:03:00;22575,00
09/01/2025;Quarto 02;20:53:00;31325,00
10/01/2025;Quarto 02;14:02:00;21050,00
11/01/2025;Quarto 02;19:20:00;29000,00
12/01/2025;Quarto 02;20:43:00;31075,00
13/01/2025;Quarto 02;21:36:00;32400,00
14/01/2025;Quarto 02;14:52:00;22300,00
15/01/2025;Quarto 02;02:53:00;4325,00
16/01/2025;Quarto 02;14:01:00;21025,00
17/01/2025;Quarto 02;13:23:00;20075,00
18/01/2025;Quarto 02;09:27:00;14175,00
19/01/2025;Quarto 02;17:15:00;25875,00
20/01/2025;Quarto 02;22:44:00;34100,00
21/01/2025;Quarto 02;14:10:00;21250,00
22/01/2025;Quarto 02;19:32:00;29300,00
23/01/2025;Quarto 02;12:53:00;19325,00
24/01/2025;Quarto 02;17:59:00;26975,00
25/01/2025;Quarto 02;14:56:00;22400,00
26/01/2025;Quarto 02;11:49:00;17725,00
27/01/2025;Quarto 02;20:42:00;31050,00
28/01/2025;Quarto 02;22:00:00;33000,00
29/01/2025;Quarto 02;18:44:00;28100,00
30/01/2025;Quarto 02;13:50:00;20750,00
31/01/2025;Quarto 02;11:57:00;17925,00
01/02/2025;Quarto 02;08:33:00;12825,00
02/02/2025;Quarto 02;02:29:00;3725,00
03/02/2025;Quarto 02;00:59:00;1475,00
04/02/2025;Quarto 02;19:53:00;29825,00
05/02/2025;Quarto 02;17:31:00;26275,00
06/02/2025;Quarto 02;10:50:00;16250,00
07/02/2025;Quarto 02;05:30:00;8250,00
08/02/2025;Quarto 02;16:39:00;24975,00
09/02/2025;Quarto 02;17:08:00;25700,00
10/02/2025;Quarto 02;16:42:00;25050,00
11/02/2025;Quarto 02;02:06:00;3150,00
12/02/2025;Quarto 02;12:15:00;18375,00
13/02/2025;Quarto 02;16:06:00;24150,00
14/02/2025;Quarto 02;16:02:00;24050,00
15/02/2025;Quarto 02;04:08:00;6200,00
16/02/2025;Quarto 02;21:46:00;32650,00
17/02/2025;Quarto 02;09:00:00;13500,00
18/02/2025;Quarto 02;19:06:00;28650,00
19/02/2025;Quarto 02;15:38:00;23450,00
20/02/2025;Quarto 02;19:20:00;29000,00
21/02/2025;Quarto 02;11:21:00;17025,00
22/02/2025;Quarto 02;15:10:00;22750,00
23/02/2025;Quarto 02;10:53:00;16325,00
24/02/2025;Quarto 02;07:41:00;11525,00
25/02/2025;Quarto 02;01:00:00;1500,00
26/02/2025;Quarto 02;11:44:00;17600,00
27/02/2025;Quarto 02;18:36:00;27900,00
28/02/2025;Quarto 02;10:03:00;15075,00
01/03/2025;Quarto 02;12:51:00;19275,00
02/03/2025;Quarto 02;11:07:00;16675,00
03/03/2025;Quarto 02;16:00:00;24000,00
04/03/2025;Quarto 02;09:53:00;14825,00
05/03/2025;Quarto 02;07:04:00;10600,00
06/03/2025;Quarto 02;16:50:00;25250,00
